COUNTRY,GOV_DEBT_PCT_OF_GDP
Antigua and Barbuda,88.851833561
Australia,22.552311729
Belgium,7.0466622662
Belarus,6.5702205877
Belize,92.2030346613
Barbados,62.5154985867
Bhutan,79.533917154
Canada,45.6753148138
Switzerland,38.2580164374
Czech Republic,21.0736924688
Dominica,77.51
Spain,37.9585126678
United Kingdom,44.6026951184
Georgia,40.9234957289
Guatemala,21.262478681
"Hong Kong SAR, China",31.5768795743
Hungary,65.2587858609
India,61.1946742152
Ireland,30.7292341565
Iceland,38.3240207032
Jamaica,121.0024333263
Jordan,79.9519239759
Sri Lanka,90.604913115
Luxembourg,3.6753298049
Moldova,32.425216395
Maldives,35.2467424059
Malta,181.2852954305
Mauritius,57.0901863962
Malaysia,42.0675592198
North America,55.3258852264
Nigeria,28.6454509295
Netherlands,48.2609341122
Norway,35.3709160669
Nepal,51.7646230481
New Zealand,44.1701201699
Oman,8.5181156389
Philippines,68.4819007984
Poland,46.5746495596
Russian Federation,16.6608684476
South Asia,61.9789843828
Singapore,95.2573158426
El Salvador,48.3368238777
Slovak Republic,36.741054801
Thailand,25.4581349649
Tunisia,52.4205297222
Uganda,64.9470689674
Uruguay,76.114459708
United States,56.2891265634
